,title,authors,venue,year,unique_id
575,efficient algorithms for mining outliers from large data sets,s ramaswamy,"sigmod conference ,",2000.0,575
576,optimal multi-step k-nearest neighbour queries,"t seidl , hp kriegel",proceedings of the 1997 acm sigmod international conference,,576
577,temporal databases,"i ahn , r snodgrass","ieee computer ,",,577
578,incorporating xsl processing into database engines,g moerkotte,,,578
579,view definition in an object-oriented database,s monk,"information and software technology ,",,579
580,mining association rules betwwen sets of items in large databases,"r agrawal , t imielinski , a swami","proceedings of acm sigmod conference on management of data , & hellip ; ,",,580
581,"integrating temporal , real-time , and active databases","k ramamritham , r sivasankaran , ja stankovic , dt","sigmod record ,",1996.0,581
582,predicate migration : optimizing queries with expensive predicates,jm hellerstein,,,582
583,foreword,m reeve,"bt technology journal ,",2002.0,583
584,interview,n myhrvold,"pc magazine ,",,584
585,the architecture of an active database system,"dr mccarthy , u dayal","proc . 1989 acm-sigmod conference on management of data , & hellip ; ,",,585
586,"a study of concurrency control in real-time , active database systems","a datta , sh son","ieee transactions on knowledge and data engineering ,",2002.0,586
587,evaluation of materialized view indexing in data warehousing environments,"l bellatreche , k karlapalem , q li",,,587
588,foreword,ja cushman,,,588
589,approximate query processing using wavelets,"kc cgrs , mn garofalakis , r rastogi , k shim",proceedings of the international conference on very large,,589
590,"the past , present and future of web services",u ogbuji,,,590
591,content-based queries in image databases,"u shaft , r ramakrishnan","computer sciences technical report-university of wisconsin & hellip ; ,",1996.0,591
592,editors ' notes,"c knapper , s piccinin","new directions for teaching and learning ,",,592
593,querying object-oriented databases,m kifer,,,593
594,progressive approximate aggregate queries with a multi-resolution tree structure,"i lazaridis , s mehrotra","sigmod conference ,",2001.0,594
595,editor 's notes,tw banta,"implementing outcomes assessment : promise and perils . new & hellip ; ,",,595
596,special issue on real-time database systems,a bestavros,"sigmod record ,",,596
597,delaunay : a database visualization system,ifcm averbuch,,,597
598,"the design , implementation , and evaluation of a compiler algorithm for cpu energy reduction","ch hsu , u kremer",,,598
599,cache investment : integrating query optimization and distributed data placement,"d kossmann , mj franklin , g drasch","acm transactions on database systems ,",2000.0,599
600,generating association rules for prefetching,s drapeau,"icdcs workshop of knowledge discovery and data mining in the & hellip ; ,",2000.0,600
601,on the design of a reliable storage component for distributed database management systems,"da menasce , oe landes",,,601
602,retrieval and delivery of information in multimedia database systems,"wi grosky , r mehrotra","information software technology ,",,602
603,cure : an efficient clustering algorithm for large databases,"g sudipto , r rastogi , k shim","proceedings of acm sigmod international conference on & hellip ; ,",,603
604,performing joins without decompression in a compressed database system,", n winterbottom","sigmod record ,",2003.0,604
605,improving adaptable similarity query processing by using approximations,"m ankerst , b braunmueller , hp kriegel , t seidl","proceedings of the international conference on very large & hellip ; ,",1998.0,605
606,practical skew handling algorithms for parallel joins,"d dewitt , jf naughton , da schneider , s seshadri",proc . 19th intl. conf . very large data,,606
607,secure buffering inâ ® rm real-time database systems,"b george , j haritsa","journal on very large data bases ( vldb ) ,",,607
608,microsoft index tuning wizard for sql server 7.0,"s chaudhuri , vr narasayya",,,608
609,an approach to active spatial data mining based on statistical information,"w wang , j yang","ieee transactions on knowledge and data engineering ,",2000.0,609
610,exploratory mining and pruning optimizations of constrained association rules [ a ],"ng rt , vs lakshmanan , j han , a pang","proc . of the 1998 aacm-sigmod int &#39; l conf . on management of & hellip ; ,",1998.0,610
611,an index structure for high-dimensional data,"s berchtold , da keim , hp kriegel","procs . of the 22nd vldb conference ,",,611
612,head/director 's message,rdae status,,,612
613,the query by image content system,"j ashley , m flickner , j hafner , d lee , w niblack ,",proceedings of the 1995 acm sigmod international conference,,613
614,principles of distributed database systems,", p valduriez",prentice,,614
615,implementing high-level active rules on top of relational databases,"e simon , j kiernan , c de maindreville","proceedings of the international conference on very large & hellip ; ,",1992.0,615
616,business data management for business-to-business electronic commerce,"c quix , m schoop , m jeusfeld","sigmod record ,",2002.0,616
617,ranking interesting subspaces for clustering high dimensional data,"k kailing , hp kriegel , p kroger , s wanka",,,617
618,an axiomatic model for deductive object-oriented databases,"zt kardkovacs , gm suranyi",,,618
619,mining association rules between sets ofitems in large databases,"r agrawal , t imielinski , a swami","conference on management of data . washington ,",,619
620,research issues in spatial databases,"o gihtther , a buchmstnn","sigmod record ,",,620
621,eddies : continuous query optimization,"r avnur , j hellerstein","proceedings of sigmod ,",,621
622,", joseph m. hellerstein , vijayshankar raman : continuously adaptive continuous queries over streams",s madden,"proceedings of the 2002 acm sigmod madison , wisconsin , usa , & hellip ; ,",,622
623,fast algo . for mining assoiciation rules,"r agrawal , r srikant","proc . the 20th vldb ,",,623
624,similarity-based queries for time series data,"pl altick , d rafiei , a mendelzon","sigmod rec ,",1997.0,624
625,the r + - tree : a dynamic index for multi-dimensional objects,"tsn roussopoulos , c faloutsos",proc .,,625
626,secure buffering in firm real-time database systems,"b george , jr haritsa","the vldb journal the international journal on very large & hellip ; ,",2000.0,626
627,efficient query processing in geographic information systems,bc ooi,,1990.0,627
628,transaction management in an object-oriented data model,"jf garza , w kim",proceedings of the acm sigmod international conference on,,628
629,enabling dynamic content caching for database-driven web sites,"ks candan , ws li , q luo , wp hsiung , d agrawal","proceedings of the 2001 acm sigmod international conference & hellip ; ,",2001.0,629
630,a design methodology for object oriented database,"c cauvet , c roland , c proix","international conference on management of data , hyderabad , & hellip ; ,",,630
631,semantics for update rule programs and implementation in a relational database management system,"l raschid , j lobo",,1996.0,631
632,watermarking relational databases,"r agrawal , j kiernan","vldb ,",2002.0,632
633,xml and relational database management systems : the inside story,"m rys , d chamberlin , d florescu","proceedings of the 2005 acm sigmod international conference & hellip ; ,",2005.0,633
634,"high-dimensional index structures , database support for next decade 's applications","s berchtold , da keim","sigmod record ,",1998.0,634
635,guest editorial,c allocchio,"computer networks ,",2000.0,635
636,reminiscences of an indian official,o cavenagh,,1884.0,636
637,extensible database management systems,"mj carey , lm haas","sigmod record ,",1990.0,637
638,an implementation technique for database query languages,"p buneman , re frankel , r nikhil","acm transactions on database systems ,",1982.0,638
639,object and file management in the exodus extensible database system,"mj carey , dj dewitt , ej shekita","vldb ,",1986.0,639
640,a dynamic workflow management system used in design,"g fakas , b karakostas","information & software technology ,",,640
641,a view selection tool for multidimensional databases,"hm jamil , ga modica",,,641
642,"prototyping dbs3 , a shared memory parallel database system","b bjã ¶ rn , c michel , v patrick","& hellip ; conference on parallel and distributed information systems & hellip ; ,",,642
643,metu object-oriented database system,a dogacâ ? ¦,"demo description , in the proc . acm sigmod intl. conf . on & hellip ; ,",,643
644,re-designing distance functions and distance-based applications for high dimensional applications,cc aggarwal,"proc . of sigmod-pods ,",,644
645,active object-oriented database systems for cim applications,"g kappel , s rausch-schott , w retschitzegger , am",,,645
646,the challenge of wi-fi roaming,sj vaughan-nichols,,,646
647,the federated data warehouse,c white,,,647
648,computing capabilities of mediators extended version . http : www-db,"r yerneni , c li , h garcia-molina , j ullman",stanford . edu pubpapersmedtemp .,,648
649,panel : real-time databases,k ramamritham,"proc . of the 17th intl. vldb conf. , barcelona , september ,",,649
650,venture leader for mobility and wireless systems,p smyth,"bt technology journal ,",2003.0,650
651,set query optimization in distributed database systems,"b gavish , a segev","acm transactions on database systems ,",1986.0,651
652,wrapping web data into xml,"w hun , d buttler , c pu","sigmod record ,",2001.0,652
653,report on the 5 thinternational workshop on the design and management of data warehouses ( dmdwâ ?? 03 ),"hj lenz , p vassiliadis , m jeusfeld , m staudt","sigmod record ,",2003.0,653
654,an introduction to spatial database systems,portal.acm.org,,1994.0,654
655,a consumer viewpoint on `` mediator languages - a proposal for a standard '',"a rosenthal , e hughes , s renner , l seligman",,,655
656,a schema partition for multimedia database management systems,v turau,,,656
657,reminiscences on influential papers,hgm stanlbrd,"sigmod record ,",1998.0,657
658,an authorization system for temporal data,"a gal , v atluri , g xu",,,658
659,editor 's notes,te cyrs,"new directions for teaching and learning ,",,659
660,metadata standards for data warehousing : open information model vs. common warehouse metadata,"t vetterli , a vaduva , m staudt","acm sigmod record ,",2000.0,660
661,a logical foundation for deductive object-oriented databases,"m liu , g dobbie , tw ling","acm transactions on database systems ,",2002.0,661
662,efficient view maintenance warehouses,"d agrawal , a el abbadi , a singh , t yurek","proc . of the 1997 acm sigmod international conference on & hellip ; ,",,662
663,client-site query extensions,"t mayr , p seshadri","sigmod conference ,",1999.0,663
664,panel : database system performance management,h boral,"acm sigmod record ,",1986.0,664
665,an architecture for query optimization,"a rosenthal , d reiner","proceedings of the 1982 acm sigmod international conference & hellip ; ,",1982.0,665
666,a generalized model for a temporal relational database,"s gadia , c yeung","proc . acm sigmod conference , june ,",,666
667,storing and querying xml documents using a path table in relational databases,"bj shin , m jin",,,667
668,incremental maintenance of externally materialized views,"m staudt , m jarke","vldb ,",1996.0,668
669,an adaptive index structure for high-dimensional similarity search,"p wu , bs manjunath , s chandrasekaran",,,669
670,semantic integration of semi-structured data,"s lim , y ng",,,670
671,efficient view maintenance in xml data warehouses,"h liefke , sb davidson",,,671
672,"performance , peer-to-peer : harnessing the power of disruptive technologies , ed . a. oram",t hong,,2001.0,672
673,digital library services in mobile computing,"b bhargava , m annamalai , e pitoura","sigmod record ,",1995.0,673
674,garcia-molina . comparing hybrid peer-to-peer systems . 7,b yang,proceedings of very large databases,,674
675,bidirectional expansion for keyword search on graph databases,"v kacholia , s pandit , s chakrabarti , s sudarshan ,","proceedings of the 31st international conference on very & hellip ; ,",2005.0,675
676,architecture for distributed multimedia database systems .,"pb berra , cyr chen , a ghafoor , cc lin , tdc little ,",,,676
677,sting : a statistical information grid approach to spatial data mining,"w wang , j yang , r muntz","vldb ,",1997.0,677
678,cost-based selection of path expression processing algorithms in object-oriented databases,r inria,,,678
679,tracing the lineage of view data in a warehousing environment,"y cui , j widom , jl wiener","acm transactions on database systems ,",2000.0,679
680,time-parameterized queries in spatio-temporal databases,"y tao , d papadias","sigmod conference ,",2002.0,680
681,an axiomatic model for deductive object-oriented databases,"zt kardkovacs , gm suranyi",,,681
682,preface to special issue on persistent object systems,"m atkinson , r morrison","the vldb journal the international journal on very large & hellip ; ,",1995.0,682
683,please donâ ?? t call it knowledge management,r garner,"computerworld ,",,683
684,guest editorial,"a el abbadi , g schlageter , ky whang","the vldb journal the international journal on very large & hellip ; ,",2001.0,684
685,on completeness of historical relational query languages,"j clifford , a croker , a tuzhilin","acm transactions on database systems ( tods ) ,",1994.0,685
686,view definition in an object-oriented database,s monk,"information and software technology ,",,686
687,database tuning : principles,"d shasha , p bonnet","experiments and troubleshooting techniques , morgan kaufmann ,",,687
688,efficient and extensible algorithms for multi query optimization,"ps seshadri , s sudarshan , s bhobe","proc . sigmod , dallas , usa ,",,688
689,guest editorial,ay halevy,"the vldb journal the international journal on very large & hellip ; ,",2002.0,689
690,"role-based security , object-oriented database & separation of duties","m nyanchama , s osborn","acm sigmod record ,",,690
691,language features for interoperability of databases with schematic discrepancies,"r krishnamurthy , w litwin , w kent","proceedings of the 1991 acm sigmod international conference & hellip ; ,",1991.0,691
692,query processing techniques for arrays,"ap marathe , k salem","the vldb journal the international journal on very large & hellip ; ,",2002.0,692
693,discovering internet marketing intelligence through online analytical web usage mining [ j ],"ag bunchner , md mulvenna","sigmod . record ,",,693
694,subquery rewriting for optimization of sql queries,"b cao , a badia",submitted for,,694
695,managing uncertainty in moving objects databases,"g trajcevski , o wolfson , k hinrichs , s chamberlain","acm transactions on database systems ,",2004.0,695
696,quintary trees : a file structure for multidimensionzil database systems,"dt lee , ck wong","acm transactions on database systems ,",1980.0,696
697,on using prolog to implement object-oriented databases,"nw paton , s leishman , sm embury , pmd gray","information and software technology ,",1993.0,697
698,system r : relational approach to database management,"kp eswaran , jn gray , pp griffiths , wf king , ra","acm transactions on database systems ,",1976.0,698
699,semantics and implementation of schema evolution in object-oriented databases,"j barnejee , w kim , hj kim , h korth","sigmod records ,",1987.0,699
700,event specification in an object-oriented database,"nh gehani , hv jagadish , o shmueli",proceedings international conference on management of,,700
701,hypertext databases and data mining,s chakrabarti,,,701
702,dynamic mobile ip and nice-tcp for improving tcp/ip performance,"v vulupala , v kumar","mobile data management , 2002 . proceedings . third & hellip ; ,",2002.0,702
703,database research at columbia university .,acms anthology,"sigmod record ,",1998.0,703
704,indexing techniques for object-oriented databases,"w kim , kc kim , a dale","acm press frontier series ,",1989.0,704
705,query processmg ma relauonal database management system,"k youssefi , e wong","proceedmgs of 1979 vldb conference ,",,705
706,a deductive database language supporting modules,b freitag,,,706
707,data structures fot integrated data base management and in-formatton retrzeval systems,"hj schek , p pastor","vldb , mexlco ,",,707
708,efficient mining of association rules in large dynamic databases,"e omiecinski , a savasere",,,708
709,a new perspective on rule support for object-oriented databases,"e anwar , l maugis , s chakravarthy",,,709
710,index configuration in object-oriented databases,e bertino,"the vldb journal the international journal on very large & hellip ; ,",1994.0,710
711,description logics for semantic query optimization in object-oriented database systems,"d beneventano , s bergamaschi , c sartori","acm transactions on database systems ,",2003.0,711
712,the montage extensible datablade tm architecture,m ubell,proceedings of the acm sigmod international conference on,,712
713,size separation spatial join,"n koudas , kc sevcik","proceedings of the 1997 acm sigmod international conference & hellip ; ,",1997.0,713
714,integration of buffer manegement and query optimization in relation database environment,"d cornell , p yu",proc . 1989 vldb,,714
715,declarative constraints in sql database systems,"r cochrane , h pirahesh , n mattos , i triggers","proc . vldb ,",,715
716,a system for watermarking relational databases,"r agrawal , pj haas , j kiernan",,,716
717,mining quantitative association rules,"r srikant , r agrawal",proceedings of the 1996 acm sigmod international conference,,717
718,eddies : continously adaptive query processing,"r avnur , jm hellerstein","acm sigmod ,",,718
719,representation of three-dimensional digital images,sn srihari,"acm computing surveys ( csur ) ,",1981.0,719
720,data management system for grid and portal services,"p grzybowski , c mazurek , m wolski",,,720
721,"w. k im , and y. sagiv . querying objectoriented databases",m kifer,"acm sigmod international conf . on management of data ,",,721
722,ramakrishnan srikant fast algorithms for mining association rules,r agrawal,"proc . 20th tnt . conf very large data bases ,",,722
723,source specific query rewriting and query plan generation for merging xml-based semistructured data,a shah,,2001.0,723
724,efficient algorithms for minimizing tree pattern queries,p ramanan,"sigmod conference ,",2002.0,724
725,design criteria for distributed database systems,tl kunii,"vldb ,",1977.0,725
726,secure transaction processing in real-time database systems,"b george , j haritsa","proc . of acm sigmod conf , may ,",,726
727,a visual query language for relational knowledge discovery,"h blau , n immerman , d jensen",,,727
728,j. . j. ordille . quering heterogeneous information sources using source descriptions,"ay levi , a rajaraman","proc . 22nd vldb conference , bombay , india ,",,728
729,approximate caching for continuous queries over distributed data sources,"c olston , j widom",,,729
730,data staging for ondemand broadcast,"d aksoy , m franklin , s zdonik","& hellip ; of the 27th international conference on very large data & hellip ; ,",,730
731,guest editor 's introduction,k aberer,"acm sigmod record ,",2003.0,731
732,"outerjoin simplification and reordering for query optimization , 1993","ca galindo-legaria , a rosenthal",submitted for,,732
733,integrity constraint and rule management in temporal deductive knowledge bases,d plexousakis,"proc . of 19th vldb ,",,733
734,sqlj : java and relational databases,g clossman,,1998.0,734
735,self-managing technology in database management systems,"s chaudhuri , b dageville , g lohman",,,735
736,distributed query evaluation on semistructured data,d suciu,"acm transactions on database systems ,",2002.0,736
737,selection of file organization using an analytic model,"sb yao , ag merten","vldb ,",1975.0,737
738,combining mediator and data warehouse technologies for developing environmental decision support,"amc moura , mc victorino , ak tanaka",,,738
739,an efficient algorithm for mining association rules in large databases,"a savasere , e omiecinski , s navathe",,1995.0,739
740,incremental maintenance of nested relational views,"j liu , mw vincent , m mohania",,,740
741,a ddsm for relational query optimization,bml kerschberg,"proc . acm annual conference ,",,741
742,database interoperability,"w litwin , a abdellatif","ieee-computer ,",,742
743,database challenges in global information systems .,"d konopnicki , o shmueli","proc . of the 21st int . conf . on very large databases , vldb ,",,743
744,editor 's notes,wmk trochim,"new directions for program evaluation ,",,744
745,anatomy of a real e-commerce system,a jhingran,,,745
746,editor 's notes,te cyrs,"new directions for teaching and learning ,",,746
747,interview with authors,e larson,"san diego ,",,747
748,integrity constraints in active database system,"ap sistla , owt conditions","proceedings of acm sigmod ,",,748
749,querying video data,"r hjelsvold , rm modeling",proceedings of the international conference on very large,,749
750,searching for dependencies at multiple abstraction levels,"t calders , rt ng , j wijsen","acm transactions on database systems ,",2002.0,750
751,parallel query processing in shared disk database systems,e rahm,"sigmod record ,",1993.0,751
752,efficient management of multiversion documents by object referencing,"sy chien , vj tsotras , c zaniolo","proceedings of the international conference on very large & hellip ; ,",2001.0,752
753,one-dimensional and multi-dimensional substring selectivity estimation,"hv jagadish , o kapitskaia , rt ng , d srivastava","the vldb journal the international journal on very large & hellip ; ,",2000.0,753
754,generic schema matching with cupid . 2001,"j madhavan , pa bernstein , e rahm",microsoft,,754
755,mining generfized association rules,"r srikant , r agrawal","proc . 1995 int . conf . very large data bases , zrich ,",,755
756,information retrieval in databases,b aditya,"b. tech . project , iit-bombay ,",,756
757,query processing in a relational database management system,"k youssefi , e wong","vldb ,",1979.0,757
758,relational databases for xml documents : limitationsandopportunities,"j shanmugasundaram , k tufte , c zhang , g he , d","proc . oftheconferenceonvery large data bases ( vldb ) , & hellip ; ,",,758
759,index concurrency control in firm real-time database systems,"b goyal , jr haritsa , s seshadri , v srinivasan","proceedings of the 21th international conference on very & hellip ; ,",1995.0,759
760,query optimization : reordering for a general class of queries,"p goel , b iyer",acm sigmod intl. conf . on management of data,,760
761,space optimization in deductive databases,"d srivastava , s sudarshan , r ramakrishnan , jf","acm transactions on database systems ,",1995.0,761
762,benchmarking queries over trees : learning the hard truth the hard way,"f wattez , s cluet , v benzaken , g ferran , c fiegel","acm sigmod record ,",2000.0,762
763,an introduction to deductive database languages and systems,"k ramamohanarao , j harland","the vldb journal the international journal on very large & hellip ; ,",1994.0,763
764,event specification in an object-oriented database,"nh gehani , hv jagadish , o shmueli",proceedings international conference on management of,,764
765,updating relational databases through xml views,v braganholo,,,765
766,the intrinsic problems of structural heterogeneity and an approach to their solution,"t hã $ rder , g sauter , j thomas","the vldb journal the international journal on very large & hellip ; ,",1999.0,766
767,incomplete information in object-oriented databases,r zicari,"sigmod record ,",1990.0,767
768,further improvements on integrity constraint checking for stratifiable deductive databases,"sy lee , tw ling","vldb ,",1996.0,768
769,schema evolution in database systems : an annotated bibliography,jf roddick,"acm sigmod record ,",1992.0,769
770,using formal methods to reason about semantics-based decompositions of transactions,"p ammann , s jajodia , i ray","proceedings of the international conference on very large & hellip ; ,",1995.0,770
771,"bj and kossman , d. 1996 . performance tradeoffs for client-server query processing",mj franklin,"proceedings of the acm-sigmod , international conference on",,771
772,a model of queries for object-oriented databases,w kim,"vldb ,",1989.0,772
773,efficient concurrency control in multidimensional access methods,"k chakrabarti , s mehrotra","sigmod conference ,",1999.0,773
774,semantics and implementation of schema evolution in object-oriented databases,"j barnejee , w kim , hj kim , h korth","sigmod records ,",1987.0,774
775,guest editor 's introduction,n verloop,"international journal of educational research ,",2001.0,775
776,fast algorithms for mining association rules,"d xin , j han , x li , b wah","proc . int . conf . on very large databases ( vldb ) ,",,776
777,fault-tolerant systems in commercial applications,o serlin,"ieee computer ,",,777
778,on negation in hilog ( extended abstract ),ka ross,"proceedings of the tenth acm sigact-sigmod-sigart symposium & hellip ; ,",1991.0,778
779,an efficient algorithm for the incremental updation of association rules in large databases,"s thomas , s bodagala , k alsabti , s ranka",,,779
780,an efficient algorithm for mining association rules in large databases,"a savasere , e omiecinski , s navathe",,1995.0,780
781,mining association rules between sets of items in large databases,"ra pi , t imielinski , a swami","proc . acm sigmod intâ ?? l conj : management of data ,",,781
782,report from the first international workshop on computer vision meets databasesâ ?? cvdb 2004,l amsaleg,"sigmod record ,",2005.0,782
783,sprint : a scalable parallel classifier for data mining,"cs john , r agrawal , m mehta","proc . 22nd int . conf . very large databases ,",,783
784,the database group at national technical university of athens ( ntua ),"i overview , q processing , o techniques","sigmod record ,",1995.0,784
785,editor 's notes,tw banta,"implementing outcomes assessment : promise and perils . new & hellip ; ,",,785
786,lh * g : a high-availability scalable distributed data structure through record grouping,"w litwin , t risch","res . rep. ceria , u. dauphine & u. linkoping ( may .",,786
787,editor 's notes,sb merriam,"new directions for adult and continuing education ,",,787
788,distance learning and the digital library : transforming the library into an information center,"rl derlin , e erazo","new directions for teaching and learning ,",1997.0,788
789,source international conference on management of data archive,j widom,"proceedings of the 1996 acm sigmod international conference & hellip ; ,",1996.0,789
790,nested relation based database knowledge representation,"q chen , y kambayashi",,,790
791,comparative analysis of five xml query languages,de e informazione,,,791
792,electronic commerce tutorial,b browning,"web developers journal , sep/02/1999 . available at : < http : / / & hellip ; ,",,792
793,benchmarking simple database operations,"d bitton , d dewitt , c turbyfill","proc . 9th int . conf . on very large databases ,",,793
794,editorâ ?? s notes,gr maughan,"new directions for higher education ,",2001.0,794
795,foreword,aj francis,,,795
796,scientific data management,"jc french , ak jones , jl pfaltz","sigmod record ,",,796
797,design and implementation of rock & roll : a deductive object-oriented database system,"ml barja , aaa fernandes , nw paton , mh williams",,,797
798,reminiscences on influential papers,e bertino,"acm transactions on database systems ,",1976.0,798
799,interview with authors,m melish,"san diego ,",,799
800,data on the web : from relational to semistructured data and xml,"s abiteboul , p buneman , d suciu","sigmod record ,",2003.0,800
801,rapid association rule mining,"a das , wk ng , yk woon",,,801
802,a new perspective on rule support for object-oriented databases,"e anwar , l maugis , s chakravarthy",,,802
803,"rule-based view of query optimization , procs","f freytag , a jc","acm sigmod ( san francisco , may",,803
804,materialized view selection and maintenance using multi-query optimization,"h mistry , p roy , s sudarshan , k ramamritham","sigmod conference ,",2001.0,804
805,algorithms for mining association rules in bag databases,"py hsu , yl chen , cc ling","information sciencesâ ?? informatics and computer science : an & hellip ; ,",2004.0,805
806,logical design for temporal databases with multiple granularities,"xs wang , c bettini , a brodsky , s jajodia","acm transactions on database systems ,",1997.0,806
807,nodose : a tool for semi-automatically extracting structured and semi-structured data from text,b adelberg,"sigmod record ,",1998.0,807
808,research in information managment at dublin city university,"m roantree , af smeaton","acm sigmod record ,",2002.0,808
809,boolean query mapping across heterogeneous information sources ( extended version ),"kcc chang , h garcia-molina , a paepcke","ieee transactions on knowledge & data engineering ,",1996.0,809
810,sqlj-part 1 : sql routines using the java programming language .,acms anthology,"sigmod record ,",1999.0,810
811,tracing the lineage of view data in a warehousing environment,"y cui , j widom , jl wiener","acm transactions on database systems ,",2000.0,811
812,query processing for sql updates,"ca galindo-legaria , s stefani , f waas","proceedings of the 2004 acm sigmod international conference & hellip ; ,",2004.0,812
813,fascicles for semantic compression and pattern extraction,j madar,"msc . thesis , department of computer science , university of",,813
814,ohlen . temporal database system implementations,b mh,"acm sigmod record ,",,814
815,finding interesting rules from large sets of discovered association rules,"k mika , m heikkiâ ? ¦",international conference on information and knowledge,,815
816,mining quantitative association rules in large relation tables,"r sirkant , r agrawal","proceedings of acm sigmod conference of management of data ,",,816
817,editor 's notes,wmk trochim,"new directions for program evaluation ,",,817
818,instruction selection using binate covering for code size optimization,"s liao , s devadas , k keutzer , s tjiang","proceedings of the 1995 ieee/acm international conference on & hellip ; ,",1995.0,818
819,srikant . fast algorithmsformining association rules,r agrawal andr,"proceedings of the 20th international conference on very & hellip ; ,",,819
820,distributed computing .,jn ryland,"new directions for higher education ,",1988.0,820
821,parallel evolution of multi-join queries,"anwj flokstra , pmg apers",acm sigmod,,821
822,maintenance of implication integrity constraints under updates to constraints,"ns ishakbeyoglu , zm ozsoyoglu","the vldb journal the international journal on very large & hellip ; ,",1998.0,822
823,efficient mining for fuzzy implication-based association rules in quantitative databases,"g chen , p yan , ee kerre","international journal of general systems ,",2004.0,823
824,an anatomy of the information resource semantic interoperability,la kalinichenko,"acm sigmod record ,",,824
825,query optimization in heterogeneous databases,"w du , r krishnamurthy , m shan","proc . vldb conference , vancouver ,",,825
826,optimal clip ordering for multi-clip queries,p shum,,1996.0,826
827,tutorial : data access,"ja blakeley , a deshpande",,,827
828,efficient parallel data mining for association rules,"js park , ms chen , ps yuâ ? ¦",,,828
829,editor 's notes,sm richardson,"new directions for teaching and learning ,",1999.0,829
830,"oo , what 's happening to db2 ?","m carey , d chamberlin","proc . acm sigmod int &#39; l conf . management of data ,",1999.0,830
831,much ado about shared-nothing,"mg norman , t zurek , p thanisch","sigmod record ,",1996.0,831
832,international workshop on web and databases,c san diego,,,832
833,standardization and database systems,eh sibley,"vldb ,",,833
834,mining fuzzy association rules in databases .,acms anthology,"sigmod record ,",1998.0,834
835,"an efficient clustering algorithm for large data bases , sigmod 1998","s guha , r rastogi , a cure","proceedings of acm sigmod international conference on & hellip ; ,",,835
836,incomplete information in relational temporal databases,k shashi,"proc . of the 18th vldb conference ,",,836
837,data abstraction and transaction processing in the database programming language rapp,"jg hughes , m connolly","acm press frontier series ,",1990.0,837
838,the mentor workbench for enterprise-wide workflow management,", ak dittrich , p muth","sigmod conference ,",1997.0,838
839,editor 's notes,tw banta,"implementing outcomes assessment : promise and perils . new & hellip ; ,",,839
840,mining deviants in time series databases,"h jagdish , n koudas , s muthukrishnan","proc . vldb ,",,840
841,keynote address,p brown,"european conference on hypertext ( paris , 1990 ) , cambridge & hellip ; ,",,841
842,aggregate-query processing in data warehousing environments,agvhd quass,,,842
843,peer-to-peer : harnessing the power of disruptive technologies oâ ?? reilly,a oram,,2001.0,843
844,a new strategy for correlated queries,"j rao , ka ross",proceedings of the acm sigmod,,844
845,the formalisation of rock & roll : a deductive object-oriented database system,"aaa fernandes , ml barja , nw paton , mh williams","information and software technology ,",1997.0,845
846,distributed query processing in database systems,"r epstein , m stonebraker , e wong","proc . acm sigmod , austin . tx . june ,",,846
847,lh * g : a high-availability scalable distributed data structure through record grouping . with t.,w litwin,"res . rep. ceria , u. dauphine & u. linkoping ( may . 1997 ) . (",,847
848,guest editorial,s chaudhuri,"data mining and knowledge discovery ,",2000.0,848
849,first order normal form for relational databases and multidatabases,"w litwin , ma ketabchi","sigmod record ,",1991.0,849
850,reminiscences on influential papers,r snodgrass,"acm transactions on database systems ,",1976.0,850
851,design and implementation of a federated database prototype,"d clements , m ganesh , sy hwang , k mediratta , ep",acm sigmod international conference on management of,,851
852,a new algorithm for faster mining of generalized association rules,"j hipp , a myka , r wirth",,,852
853,constraints for semistru ctured data and xml,"b peter , f wenfei , s jeromeâ ? ¦","sigmod record ,",,853
854,the design of relational databases,"h mannila , kj rã $ ihã $",,1992.0,854
855,building an interoperable distributed image database management system,b yao,,,855
856,dynamic query optimization plans,"g graefe , k ward","proceedings of acm-sigmod international conference on & hellip ; ,",,856
857,generalized search trees for database systems,"jm hellerstein , jf naughton , a pfeffer","vldb ,",1995.0,857
858,foreword,ae davidson,,,858
859,maintenance of data cubes and summary table in a warehouse,"is mumick , d quass",,1997.0,859
860,standards for databases on the grid,gc introduction,"sigmod record ,",2003.0,860
861,lazy updates for distributed search structure,"t johnson , p krishna",,,861
862,physical database design for relational databases,"s finkelstein , m schkolnick , p tiberio","acm transactions on database systems ,",1988.0,862
863,punctuating continuous data streams,"p tucker , d maier , t sheard , l fegaras",,,863
864,xml query processing,"d florescu , d kossmann","data engineering , 2004 . proceedings . 20th international",,864
865,sap r/3 : a database application system,"a kemper , d kossmann","sigmod record ,",1998.0,865
866,an efficient and cost effective technique for browsing and querying large video databases,"jh oh , ka hua",proceedings of acm,,866
867,linear road : a stream data management benchmark,"a arasu , m cherniack , e galvez , d maier , a maskey ,","proceedings of the international conference on very large & hellip ; ,",2004.0,867
868,mining generalized association rules,"r srikant , r agrawal",,1995.0,868
869,data management for earth science systems,j frew,"sigmod record ,",,869
870,realm-based temporal data types,"t griths , aaa fernandes , nw paton , n djafri",,,870
871,administering a distributed database management system,h walker,acm-sigmod,,871
872,"declarative data cleaning : language , model","h galhardas , d florescu , d shasha , e simon , c","and algorithms . technical report , inria ,",,872
